"census","tree_number","tree_species","roll","fold","curl","web","tie","ara_roll","ara_fold","ara_web","ara_tie","gall","ara","col","lep","lep_shelters","ara_shelters","sun","ara2","lep2","gall2","roll2","web2","fold2","tie2","ara_roll2","ara_web2","ara_fold2","ara_tie2","lep_shelters2","ara_shelters2"
1,"T01-01","Hawthorn",0,0,0,0,2,0,0,1,0,16,1,0,2,2,1,"less sun",1.09861228866811,1.38629436111989,2.89037175789616,0.693147180559945,0.693147180559945,0.693147180559945,1.38629436111989,0.693147180559945,1.09861228866811,0.693147180559945,0.693147180559945,1.38629436111989,1.09861228866811
1,"T01-02","Sugar_Maple",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"less sun",0.693147180559945,0.693147180559945,1.09861228866811,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945
1,"T01-06","Sugar_Maple",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"less sun",0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945
1,"T01-07","American_Hornbeam",0,6,0,0,3,0,0,0,0,1,0,0,3,9,0,"less sun",0.693147180559945,1.6094379124341,1.09861228866811,0.693147180559945,0.693147180559945,2.07944154167984,1.6094379124341,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,2.39789527279837,0.693147180559945
1,"T01-10","Sugar_Maple",0,1,0,0,0,0,0,0,0,13,0,0,0,1,0,"less sun",0.693147180559945,0.693147180559945,2.70805020110221,0.693147180559945,0.693147180559945,1.09861228866811,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,1.09861228866811,0.693147180559945
1,"T01-14","Sugar_Maple",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"less sun",0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,1.09861228866811,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,1.09861228866811,0.693147180559945
1,"T01-15","Sugar_Maple",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"less sun",0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945
1,"T01-16","Sugar_Maple",0,1,0,0,0,0,0,1,0,2,1,0,0,1,1,"less sun",1.09861228866811,0.693147180559945,1.38629436111989,0.693147180559945,0.693147180559945,1.09861228866811,0.693147180559945,0.693147180559945,1.09861228866811,0.693147180559945,0.693147180559945,1.09861228866811,1.09861228866811
1,"T01-17","Sugar_Maple",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"less sun",0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945
1,"T01-18","American_Hornbeam",0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,"less sun",0.693147180559945,0.693147180559945,5.47646355193151,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945
1,"T01-19","Red_Maple",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"less sun",0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945
1,"T02-02","Sugar_Maple",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"less sun",0.693147180559945,0.693147180559945,1.6094379124341,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945
1,"T02-03","American_Hornbeam",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"less sun",0.693147180559945,0.693147180559945,1.09861228866811,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945
1,"T02-04","American_Hornbeam",0,3,0,0,1,0,1,0,0,0,1,0,1,4,1,"less sun",1.09861228866811,1.09861228866811,0.693147180559945,0.693147180559945,0.693147180559945,1.6094379124341,1.09861228866811,0.693147180559945,0.693147180559945,1.09861228866811,0.693147180559945,1.79175946922805,1.09861228866811
1,"T02-07","American_Hornbeam",0,21,0,7,5,0,0,0,0,0,1,2,7,33,0,"less sun",1.09861228866811,2.19722457733622,0.693147180559945,0.693147180559945,2.19722457733622,3.13549421592915,1.94591014905531,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,3.55534806148941,0.693147180559945
1,"T02-08","American_Hornbeam",0,4,0,0,3,0,0,0,0,0,0,0,0,7,0,"less sun",0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,1.79175946922805,1.6094379124341,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,2.19722457733622,0.693147180559945
1,"T02-09","American_Hornbeam",0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,"less sun",0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,1.6094379124341,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,0.693147180559945,1.6094379124341,0.693147180559945
