"id","l_size","seed_size_std","age","observer","cross"
14,0.949725507960392,0.282220730901531,2,2,6
15,1.06263962820929,1.18114744211411,2,2,6
13,0.353469812989784,0.405602828518944,1,2,6
16,1.20507219976924,0.546610940081702,2,2,3
17,-0.515838165589535,0.68761905164446,1,2,3
20,1.8645451389537,1.62179779074773,3.9375,2,1
21,1.601002433613,0.969635274769974,2.89583333333337,2,1
18,1.80697643503292,1.55129373496635,3.9375,2,1
19,2.06635630213118,1.70992786047445,3.9375,2,1
24,0.955895986466515,-1.21599045445277,2.89583333333337,2,6
25,1.09225881469593,-0.510949896638981,3.9375,2,6
26,1.25276296849537,-0.54620192452967,2.89583333333337,2,6
34,1.36148924220092,0.68761905164446,3.9375,2,5
34,1.3326298365342,0.68761905164446,3.9375,1,5
38,0.815364813284194,0.775749121371183,2,2,1
40,1.05952489996006,-0.123177589841398,2,2,4
33,1.86050786638915,-1.1102343707807,3.9375,2,2
38,0.785270469435751,0.775749121371183,2,1,1
40,0.993251773010283,-0.123177589841398,2,1,4
33,1.83959679864222,-1.1102343707807,3.9375,1,2
56,0.198030850499135,1.44553765129428,2,2,6
58,0.953201085894252,0.95200926082463,2,2,6
57,1.11677959262356,0.123586605393428,2.89583333333337,2,6
42,1.0952733874026,0.65236702375377,2,2,1
44,2.23205532680352,3.77217149207978,3.9375,2,1
46,0.206200830583898,1.12826940027808,2,2,3
48,1.63549544675339,1.60417177680238,2.89583333333337,2,3
49,1.31881819599498,0.969635274769974,2.89583333333337,2,3
47,1.72097928716701,1.97431806965462,2.89583333333337,2,3
51,0.100749903100143,0.634741009808425,1,2,1
100,1.03175998168027,0.476106884300323,2,4,3
89,0.863733481135479,1.09301737238739,2,4,6
14,0.921875110168056,0.282220730901531,2,1,6
15,1.00978107496149,1.18114744211411,2,1,6
13,0.315540400580177,0.405602828518944,1,1,6
16,1.18478998490916,0.546610940081702,2,1,3
17,-0.424647927524938,0.68761905164446,1,1,3
20,1.83162100265319,1.62179779074773,3.9375,1,1
21,1.56339397393269,0.969635274769974,2.89583333333337,1,1
18,1.77444374701837,1.55129373496635,3.9375,1,1
19,2.05425193060618,1.70992786047445,3.9375,1,1
24,0.909870164071232,-1.21599045445277,2.89583333333337,1,6
25,1.04591449966766,-0.510949896638981,3.9375,1,6
26,1.2011688769932,-0.54620192452967,2.89583333333337,1,6
100,1.04168914126849,0.476106884300323,2,1,3
89,0.857813802115179,1.09301737238739,2,1,6
28,2.74624474690018,-0.510949896638981,12.8333333333333,1,5
29,2.67621547758219,-0.863470175545876,10.9791666666666,1,5
34,4.2281613307897,0.68761905164446,16.7291666666666,1,5
35,2.39315679117843,-0.845844161600531,9.75,1,5
36,3.12421343520253,-0.458071854802947,10.9791666666666,1,3
79,-0.295714244149045,-1.21599045445277,1,4,1
38,3.9302361348475,0.775749121371183,14.7916666666666,1,1
39,3.0627832608036,0.775749121371183,10.9791666666666,1,1
85,1.7404661748405,1.42791163734894,2.89583333333337,4,3
76,-0.336872316642553,-0.158429617732087,1,4,5
40,4.11341162493933,-0.123177589841398,14.7916666666666,1,4
41,3.11879026104584,-0.211307659568122,10.9791666666666,1,4
69,1.48478130783454,2.3973424043429,2.89583333333337,4,1
70,1.27228544450802,0.211716675120152,2.89583333333337,4,1
28,2.61921898739559,-0.387567799021568,9.75,1,4
33,4.49949851081405,-1.1102343707807,16.7291666666666,1,2
30,3.11506965614261,0.405602828518944,10.9791666666666,1,2
31,2.72444834691185,0.335098772737565,9.75,1,2
32,3.08580147064286,-0.140803603786743,12.8333333333333,1,2
65,1.16190002790403,-0.528575910584326,2.89583333333337,4,6
56,0.193920692637306,1.44553765129428,2,3,6
58,0.929799081898947,0.95200926082463,2,3,6
57,1.08451336428861,0.123586605393428,2.89583333333337,3,6
42,1.05012207950768,0.65236702375377,2,3,1
44,2.19733568227495,3.77217149207978,3.9375,3,1
46,0.202124184090134,1.12826940027808,2,3,3
48,1.65441127807683,1.60417177680238,2.89583333333337,3,3
49,1.30670988177705,0.969635274769974,2.89583333333337,3,3
47,1.7003749074262,1.97431806965462,2.89583333333337,3,3
51,-0.0212236364516267,0.634741009808425,1,3,1
69,1.49312879003372,2.3973424043429,2.89583333333337,3,1
70,1.3196202278519,0.211716675120152,2.89583333333337,3,1
65,1.19361939224644,-0.528575910584326,2.89583333333337,3,6
50,2.8567575212634,-0.599079966365705,10.9791666666666,1,2
52,3.15179540918558,1.04013933055135,10.9791666666666,1,2
45,2.4697084060301,0.440854856409633,10.9791666666666,1,2
46,3.11351530921037,-0.052673534060019,10.9791666666666,1,2
48,0.918288734536828,-0.176055631677432,2.85416666666663,1,2
54,2.75931349503975,0.211716675120152,10.9791666666666,1,4
53,1.80763281838435,-0.599079966365705,5.71875,1,4
55,3.26419329955866,-0.563827938475015,12.8333333333333,1,6
56,3.83241686911013,1.44553765129428,14.7916666666666,1,6
58,4.07254193626126,0.95200926082463,14.7916666666666,1,6
59,3.38922600988094,0.546610940081702,13.7916666666666,1,6
57,4.13257119169429,0.123586605393428,15.6875,1,6
79,-0.263965545834465,-1.21599045445277,1,3,1
85,1.71163342474877,1.42791163734894,2.89583333333337,3,3
76,-0.125563222975346,-0.158429617732087,1,3,5
60,2.45607841395115,0.264594716956186,9.75,1,5
62,1.97088146844793,-1.83290094253983,8.83333333333331,1,4
61,1.85457776162021,-0.440445840857602,9.75,1,4
63,0.759402976337011,0.564236954027047,10.9791666666666,1,5
42,4.1247120988385,0.65236702375377,14.7916666666666,1,1
43,3.24095037918651,-0.986852273163289,10.9791666666666,1,1
44,4.96300545648752,3.77217149207978,16.7291666666666,1,1
46,3.75908159414087,1.12826940027808,14.7916666666666,1,3
48,4.51817335434722,1.60417177680238,15.6875,1,3
49,4.22543130245081,0.969635274769974,15.6875,1,3
